,type,data,currentView,userId,date,item,sessionId
2282,UPDATE_CURRENT_VIEW,Checker,dashboard,5e4c214a69cc03000caf6259,20:05:22,Challenge,Prolific Jan2021
8320,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:05:55,Challenge,Prolific Jan2021
9271,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:05:55,Challenge,Prolific Jan2021
17644,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:02,Challenge,Prolific Jan2021
6877,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:02,Challenge,Prolific Jan2021
13605,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">turnleft</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""259""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:07,Challenge,Prolific Jan2021
2688,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">turnleft</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""259""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:07,Challenge,Prolific Jan2021
18337,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">turnleft</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""259""><field name=""NAME"">back</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""339""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:11,Challenge,Prolific Jan2021
78,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""179""><field name=""NAME"">turnleft</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""259""><field name=""NAME"">back</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""339""><field name=""NAME"">my name</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:11,Challenge,Prolific Jan2021
22379,UPDATE_CODE_move,"<xml><block type=""karel_main"" deletable=""false"" movable=""false"" x=""20"" y=""20""></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""99""><field name=""NAME"">forward</field><statement name=""STACK""><block type=""karel_pickup_stone""></block></statement></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""185""><field name=""NAME"">turnleft</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""265""><field name=""NAME"">back</field></block><block type=""procedures_defnoargsnoreturn"" x=""20"" y=""345""><field name=""NAME"">turnright</field></block></xml>",Checker,5e4c214a69cc03000caf6259,20:06:38,Challenge,Prolific Jan2021
